Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP,sweep_type
0v4qq8sn,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(1.0, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",,4,39,0.409090909090909,1.0,0.2571428571428571,,215,0,26,9,affine
0owee7yz,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.0), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",,4,38,0.3529411764705882,0.5625,0.2571428571428571,,208,7,26,9,affine
x97kqqm8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",,4,19,0.4705882352941175,0.75,0.3428571428571428,,211,4,23,12,affine
p6iu70rz,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.7, 1.3), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",,4,32,0.2680412371134021,0.2096774193548387,0.3714285714285714,,166,49,22,13,affine
dg9pu2vn,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.7, 1.3))], p=0.5)",,4,10,0.1470588235294117,0.1515151515151515,0.1428571428571428,,187,28,30,5,affine
83xefx90,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",,4,29,0.3013698630136986,0.2894736842105263,0.3142857142857143,,188,27,24,11,affine
delet16u,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.0))], p=0.5)",,4,20,0.217391304347826,0.175438596491228,0.2857142857142857,,168,47,25,10,affine
p9k4qp8r,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(1.0, 1.15))], p=0.5)",,4,33,0.2222222222222222,0.1956521739130435,0.2571428571428571,,178,37,26,9,affine
hg3ex780,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomVerticalFlip(p=0.5),,4,17,0.2524271844660194,0.1911764705882352,0.3714285714285714,,160,55,22,13,affine
a6vnlgok,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomHorizontalFlip(p=0.5),,4,39,0.2954545454545454,0.2452830188679245,0.3714285714285714,,175,40,22,13,affine
mg4ui7zg,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)",,4,12,0.2184873949579832,0.1547619047619047,0.3714285714285714,,144,71,22,13,affine
t4gxk2tp,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",,4,18,0.2777777777777778,0.2702702702702703,0.2857142857142857,,188,27,25,10,affine
v4hn2nva,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(0, 0, -15, 15))], p=0.5)",,4,10,0.2439024390243902,0.8333333333333334,0.1428571428571428,,214,1,30,5,affine
dng300dr,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, 0, 0))], p=0.5)",,4,16,0.24,0.4,0.1714285714285714,,206,9,29,6,affine
mtj1arne,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-5, 5))], p=0.5)",,4,20,0.131578947368421,0.1219512195121951,0.1428571428571428,,179,36,30,5,affine
ftgs8j32,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",,4,23,0.2857142857142857,0.2619047619047619,0.3142857142857143,,184,31,24,11,affine
avzj3epj,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",,4,19,0.2682926829268293,0.2340425531914893,0.3142857142857143,,179,36,24,11,affine
vhk2701d,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-15, 15))], p=0.5)",,4,11,0.1935483870967742,0.1551724137931034,0.2571428571428571,,166,49,26,9,affine
wbt1esy1,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",,4,10,0.1470588235294117,0.1515151515151515,0.1428571428571428,,187,28,30,5,affine
15am8yct,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",,4,20,0.3157894736842104,0.4090909090909091,0.2571428571428571,,202,13,26,9,affine
uu3pl1sn,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.0, 0.15))], p=0.5)",,4,20,0.3508771929824561,0.4545454545454546,0.2857142857142857,,203,12,25,10,affine
