Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,sweep_type,average_metric
"T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)",0.2693511763436218,0.8536585365853657,0.0,0.3536434108527132,1.0,0.0,0.234015535292131,0.7446808510638298,0.0,,,,pixel-level,0.4761390028059572
"T.RandomAdjustSharpness(sharpness_factor=3.0, p=0.5)",0.2661194383709596,0.7792207792207793,0.0,0.4789162561576355,1.0,0.0,0.2332680400765507,0.6382978723404256,0.0,,,,pixel-level,0.4447480308737915
"T.RandomApply([T.ColorJitter(brightness=0.1, contrast=0.1, saturation=0.1, hue=0.1)], p=0.5)",0.2820963926039356,0.8536585365853657,0.0,0.4303030303030303,1.0,0.0,0.2431160643926601,0.7446808510638298,0.0,,,,pixel-level,0.4825116109361141
"T.RandomApply([T.ColorJitter(brightness=0.15, contrast=0.15)], p=0.5)",0.2510916307859115,0.7608695652173912,0.0,0.4724358974358974,1.0,0.0,0.2357086569852527,0.7446808510638298,0.0,,,,pixel-level,0.4298936414799122
"T.RandomApply([T.ColorJitter(contrast=0.3)], p=0.5)",0.2620724109425161,0.6862745098039216,0.0,0.3693699917104173,0.75,0.0,0.2619520432286389,0.7446808510638298,0.0,,,,pixel-level,0.4055460093928267
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(1.5, 2.0))], p=0.5)",0.2533638944124834,0.6363636363636364,0.0,0.4291989664082687,1.0,0.0,0.2505234718000675,0.7446808510638298,0.0,,,,pixel-level,0.3812274017516963
"T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.1, 0.5))], p=0.5)",0.2692720918277207,0.8536585365853657,0.0,0.6063157894736843,1.0,0.0,0.2242800855566812,0.7446808510638298,0.0,,,,pixel-level,0.4760994605480066
"T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)",0.2598125254187554,0.8536585365853657,0.0,0.4455523672883787,1.0,0.0,0.2602589215355173,0.7446808510638298,0.0,,,,pixel-level,0.471369677343524
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))",0.2507129163671219,0.6542056074766355,0.0,0.3244588744588744,1.0,0.0,0.2454441067207024,0.7446808510638298,0.0,,,,grid_distortion,0.3870387011742151
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.09, 0.09))",0.2734054195154763,0.9462365591397848,0.0,0.2630434782608696,0.9565217391304348,0.0,0.2951705504896994,0.9361702127659576,0.0,,,,grid_distortion,0.515197333413652
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.09, 0.09))",0.2520167201322057,0.8395061728395062,0.0,0.4193333333333333,1.0,0.0,0.2160036023865811,0.723404255319149,0.0,,,,grid_distortion,0.4618108292019054
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.03, 0.03))",0.2670043016207392,0.825,0.0,0.3169649122807018,1.0,0.0,0.250726571871106,0.7021276595744681,0.0,,,,grid_distortion,0.4635021508103696
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.09, 0.09))",0.2743538912126657,0.4794520547945205,0.0,0.4772288098375055,1.0,0.0,0.2784599797365755,0.7446808510638298,0.0,,,,grid_distortion,0.3289577675241411
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.3, 0.3))",0.2687645823773968,0.5343511450381679,0.0327868852459016,0.3271768922622812,0.8888888888888888,0.021505376344086,0.293946204877973,0.7446808510638298,0.0689655172413793,,,,grid_distortion,0.3514014377285557
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.5, 0.5))",0.2525641379824557,0.8536585365853657,0.0,0.2596527498996387,1.0,0.0,0.2814229426995384,0.7446808510638298,0.0,,,,grid_distortion,0.4677454836253741
"""T.RandomErasing(p=0.5, scale=(0.001, 0.01), ratio=(0.3, 3.3), value=random, inplace=False)""",0.2541025064628526,0.8292682926829269,0.0,0.4861855670103092,1.0,0.0,0.2257390521220308,0.723404255319149,0.0,,,,random_erasing_small_region,0.4587585703045971
