Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
dvl9wndf,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.03, 0.03))",None,3,10,0.825,1.0,0.7021276595744681,,166,0,14,33
thwo627k,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.5, 0.5))",None,3,8,0.4794520547945205,0.35353535353535354,0.7446808510638298,,102,64,12,35
nupppwaa,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.3, 0.3))",None,3,15,0.6603773584905661,0.5932203389830508,0.7446808510638298,,142,24,12,35
1fkisdxk,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.1, 0.1))",None,3,15,0.12,1.0,0.06382978723404255,,166,0,44,3
6i4xom26,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.09, 0.09))",None,3,23,0.8395061728395062,1.0,0.723404255319149,,166,0,13,34
j6ciefoc,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.03, 0.03))",None,3,23,0.7311827956989247,0.7391304347826086,0.723404255319149,,154,12,13,34
h1lso5zg,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.5, 0.5))",None,3,18,0.3414634146341463,0.22151898734177217,0.7446808510638298,,43,123,12,35
g1hmtd3x,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.3, 0.3))",None,3,12,0.578512396694215,0.47297297297297297,0.7446808510638298,,127,39,12,35
wyl7rggp,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.1, 0.1))",None,3,9,0.8,0.8947368421052632,0.723404255319149,,162,4,13,34
fsldtbkm,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.09, 0.09))",None,3,16,0.4861111111111111,0.3608247422680412,0.7446808510638298,,104,62,12,35
9xy63yzt,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.03, 0.03))",None,3,14,0.53125,0.41975308641975306,0.723404255319149,,119,47,13,34
