Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,sweep_type,average_metric
"""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(1.0, 2.0), padding_mode=zeros, spatial_size=(600, 400))""",0.1983818874403133,0.6422018348623854,0.0,0.1892668621700879,0.5645161290322581,0.0,0.2266081278847236,0.7446808510638298,0.0,,,,elastic,0.3560716776651108
"""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(1.0, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",0.2265197936350165,0.6363636363636364,0.0,0.370422335600907,1.0,0.0,0.2602589215355173,0.7446808510638298,0.0,,,,elastic,0.36780535136296283
"""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(2.5, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",0.2027911642567668,0.5113636363636364,0.0,0.1494684347193527,0.3488372093023256,0.0,0.3776524706238572,0.9574468085106383,0.0,,,,elastic,0.305941036673838
"""MT.Rand2DElastic(prob=0.5, spacing=(45, 45), magnitude_range=(1.0, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",0.2395604395604395,0.7692307692307692,0.0,0.418212739641311,1.0,0.0,0.2528515141281098,0.7446808510638298,0.0,,,,elastic,0.42747252747252745
"CT.RandomElasticTransform(p=0.5, alpha=(20.0, 5.0), sigma=(4.0, 5.0))",0.221948006712897,0.7,0.0,0.3692276811907482,1.0,0.0,0.265973207249803,0.7446808510638298,0.0,,,,elastic,0.3909740033564485
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 10.0), sigma=(3.0, 5.0))",0.1685488424618859,0.5072463768115941,0.0,0.2007326007326007,0.3846153846153846,0.0,0.198036699313295,0.7446808510638298,0.0,,,,elastic,0.2871729719555806
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 20.0), sigma=(3.0, 5.0))",0.2192314035955797,0.6666666666666665,0.0,0.2765720081135902,0.75,0.0,0.2225869638635595,0.7446808510638298,0.0,,,,elastic,0.37628236846445645
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 40.0), sigma=(4.0, 5.0))",0.2496585921266406,0.6796116504854368,0.0402010050251256,0.3351604278074866,0.6666666666666666,0.0235294117647058,0.287845128432069,0.7446808510638298,0.074074074074074,,,,elastic,0.4006940567600076
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 50.0), sigma=(4.0, 5.0))",0.2688569101276133,0.5511811023622046,0.1111111111111111,0.3886804836916944,1.0,0.1111111111111111,0.459076655525665,0.9655172413793104,0.074074074074074,,,,elastic,0.36601200711979964
None,0.2355686090225563,0.7157894736842105,0.0,0.4234693296915898,1.0,0.0,0.2371676235506022,0.723404255319149,0.0,,,,None,0.4041000939849624
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.15, 0.15))",0.2155644141954302,0.5882352941176471,0.0,0.2502718676122931,0.7333333333333333,0.0,0.234015535292131,0.7446808510638298,0.0,,,,pixel-level,0.34307632474477395
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.25, 0.25))",0.2319889931207004,0.7948717948717948,0.0,0.261441597915762,1.0,0.0,0.2284228301249578,0.6595744680851063,0.0,,,,pixel-level,0.43394321450906814
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))",0.3335530045351474,0.7777777777777778,0.0,0.5544455774481103,1.0,0.0,0.2824811437577395,0.7446808510638298,0.0,,,,pixel-level,0.4778876133786848
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.05, 0.15))",0.2641826923076923,0.5384615384615385,0.0,0.4196897081628786,1.0,0.0,0.271052572329168,0.7446808510638298,0.0,,,,pixel-level,0.3474759615384616
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.15, 0.25))",0.1773269808183825,0.4210526315789473,0.0,0.3603128054740958,1.0,0.0,0.2471372284138241,0.7446808510638298,0.0,,,,pixel-level,0.25708454304077016
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.25, 0.35))",0.2908632933342036,0.7865168539325842,0.0,0.5096943389401338,1.0,0.0,0.2602589215355173,0.7446808510638298,0.0,,,,pixel-level,0.4600383882401355
"CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))",0.2415273265686433,0.5035971223021584,0.0,0.479983060417843,1.0,0.0,0.2528515141281098,0.7446808510638298,0.0,,,,pixel-level,0.32220251220518503
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))",0.2959842325695984,0.8536585365853657,0.0,0.3655555555555555,1.0,0.0,0.2625869638635595,0.7446808510638298,0.0,,,,pixel-level,0.4894555309189455
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.1, 0.5))",0.2386106564829969,0.523076923076923,0.0,0.4541499330655957,1.0,0.0,0.2462681526511313,0.723404255319149,0.0,,,,pixel-level,0.32853609747226764
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.5, 1.0))",0.2608445642407906,0.7142857142857144,0.0,0.4679267617465681,1.0,0.0,0.239094900371496,0.7446808510638298,0.0,,,,pixel-level,0.41613656783468106
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.5, 1.5))",0.1291722715451529,0.3389830508474576,0.0,0.2893939393939394,1.0,0.0,0.1091523134076325,0.2857142857142857,0.0,,,,pixel-level,0.20017935611155951
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.9, 1.1))",0.1833239727289479,0.5970149253731344,0.0,0.2539485359361135,1.0,0.0,0.1701857480580884,0.425531914893617,0.0,,,,pixel-level,0.33046795651372773
"CT.RandomContrastByMultiply(p=0.5, multiplier=(1.5, 2.0))",0.1330368933085401,0.564516129032258,0.0,0.2965694682675815,1.0,0.0,0.1768726781492739,0.7446808510638298,0.0,,,,pixel-level,0.2923248982671733
"CT.RandomNoise(p=0.5, mean=0, std=0.01)",0.2166076785654093,0.393939393939394,0.0,0.4906125407756433,1.0,0.0,0.172946076775864,0.3714285714285714,0.0,,,,pixel-level,0.26587959685846224
"CT.RandomNoise(p=0.5, mean=0, std=0.05)",0.2154936120789779,0.8536585365853657,0.0,0.2291799109980928,1.0,0.0,0.2454441067207024,0.7446808510638298,0.0,,,,pixel-level,0.44921022067363525
