Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min
"CT.RandomSpeckleNoise(p=0.5, mean=0, std=0.05)",0.21569793975211363,0.7526881720430109,0.0,0.2512764771460424,0.7608695652173914,0.0,0.21115839243498816,0.7446808510638298,0.0,,,
"CT.RandomSpeckleNoise(p=0.5, mean=0, std=0.1)",0.19781081313928028,0.5185185185185186,0.02197802197802198,0.41069130216189037,1.0,0.013071895424836602,0.23807318900495714,0.7446808510638298,0.037037037037037035,,,
"CT.RandomSpeckleNoise(p=0.5, mean=0, std=0.5)",0.2252241080885582,0.8235294117647057,0.0,0.2373143731854935,0.9210526315789472,0.0,0.2606165205138059,0.7446808510638298,0.0,,,
"CT.RandomSpeckleNoise(p=0.5, mean=0, std=0.8)",0.2433066468069261,0.8536585365853657,0.0,0.261088379705401,1.0,0.0,0.24544410672070244,0.7446808510638298,0.0,,,
None,0.1532640787315473,0.4,0.0,0.21302083333333335,0.5,0.0,0.20375098502758077,0.7446808510638298,0.0,,,
