Transforms,Test F1_mean,Test F1_max,Test F1_min,Test F1_std,Test Precision_mean,Test Precision_max,Test Precision_min,Test Precision_std,Test Recall_mean,Test Recall_max,Test Recall_min,Test Recall_std,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,Test Accuracy_std
None,0.24923766496661237,0.53125,0.048,0.2291296541533978,0.5628544751233827,1.0,0.030612244897959183,0.4799037892159793,0.2670932078709042,0.4827586206896552,0.037037037037037035,0.18605029433111847,,,,
"T.RandomApply([T.RandomAffine(degrees=(-15, 15))], p=0.5)",0.25316722753423265,0.8192771084337349,0.04705882352941176,0.32169230456594433,0.342609397055858,0.9444444444444444,0.034482758620689655,0.3829391399139564,0.32177992057669236,0.723404255319149,0.037037037037037035,0.29416064241967105,,,,
"T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",0.3652847425889345,0.8433734939759036,0.12,0.2993378066236836,0.4832129274774973,1.0,0.07936507936507936,0.46255549613453,0.3967230704134593,0.7446808510638298,0.1111111111111111,0.2418961170812457,,,,
"T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",0.3037033060412505,0.8045977011494252,0.058823529411764705,0.30311780393863746,0.40973992673992676,0.875,0.038461538461538464,0.4160254802501465,0.3193284343981336,0.7446808510638298,0.1111111111111111,0.24918619461979505,,,,
"T.RandomApply([T.RandomAffine(degrees=(-5, 5))], p=0.5)",0.24137451105468735,0.7415730337078651,0.020100502512562814,0.29411862199547856,0.3912934496291741,1.0,0.01176470588235294,0.46587991224120934,0.23464191578644988,0.7021276595744681,0.06896551724137931,0.26322854412353885,,,,
"T.RandomApply([T.RandomAffine(degrees=0, scale=(0.7, 1.3))], p=0.5)",0.21158324099500567,0.5555555555555555,0.05405405405405406,0.20711258727069587,0.2662439585730725,0.6666666666666666,0.03428571428571429,0.27915306089118214,0.2707387609808739,0.7446808510638298,0.1111111111111111,0.2671891117011377,,,,
"T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.0))], p=0.5)",0.20361906053070342,0.6542056074766355,0.029268292682926828,0.2626769882505178,0.36093270764323393,1.0,0.017045454545454544,0.4245047201726931,0.2563983121576665,0.7446808510638298,0.037037037037037035,0.28805412578174283,,,,
"T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",0.28764239365537125,0.7368421052631579,0.0,0.29192707814332347,0.3614203778677463,0.75,0.0,0.3627447049505682,0.2784599797365755,0.7446808510638298,0.0,0.2860741484442843,,,,
"T.RandomApply([T.RandomAffine(degrees=0, scale=(1.0, 1.15))], p=0.5)",0.2352328909705959,0.8333333333333334,0.0,0.344483432470823,0.4346354134454821,1.0,0.0,0.4973808959491564,0.22999437127096697,0.7446808510638298,0.0,0.3040980047467975,,,,
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.30721675396150305,0.8333333333333334,0.04926108374384237,0.3092567897414493,0.47399036968002484,1.0,0.02873563218390805,0.46394399862847435,0.2924136378281646,0.7446808510638298,0.1111111111111111,0.26109079547508907,,,,
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, 0, 0))], p=0.5)",0.2175238095238095,0.4666666666666667,0.0,0.19164593203432762,0.199243216330595,0.4,0.0,0.1774539631822869,0.3313700326466284,0.7446808510638298,0.0,0.3330487884236869,,,,
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)",0.23583231045227077,0.5,0.0,0.2114529614158482,0.29406491481103647,1.0,0.0,0.4078309926417308,0.3121107733873691,0.7446808510638298,0.0,0.2867489622543417,,,,
