Transforms,Test F1_mean,Test F1_max,Test F1_min,Test F1_std,Test Precision_mean,Test Precision_max,Test Precision_min,Test Precision_std,Test Recall_mean,Test Recall_max,Test Recall_min,Test Recall_std,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,Test Accuracy_std
"""T.RandomErasing(p=0.5, scale=(0.001, 0.01), ratio=(0.3, 3.3), value=random, inplace=False)""",0.25410250646285265,0.8292682926829269,0.0,0.34482066381559495,0.48618556701030924,1.0,0.0,0.4864209704337402,0.22573905212203088,0.723404255319149,0.0,0.2951114147459854,,,,
"""T.RandomErasing(p=0.7, scale=(0.001, 0.01), ratio=(0.3, 3.3), value=random, inplace=False)""",0.2386869162533051,0.5882352941176471,0.0,0.2525935171157519,0.4262626262626263,1.0,0.0,0.41905365402601596,0.24883035010694585,0.7446808510638298,0.0,0.3006555387548109,,,,
None,0.2098702810285195,0.510948905109489,0.010869565217391304,0.2159073473832688,0.18728142169055614,0.3888888888888889,0.0064516129032258064,0.18439552897568334,0.2688485949527769,0.7446808510638298,0.034482758620689655,0.2900789435548906,,,,
"T.RandomErasing(p=0.5, scale=(0.001, 0.01), ratio=(0.3, 3.3), value=0, inplace=False)",0.19784195493494128,0.510948905109489,0.0,0.2711526541117875,0.2777777777777778,1.0,0.0,0.43744488188954506,0.21179331306990878,0.7446808510638298,0.0,0.3275068865075929,,,,
"T.RandomErasing(p=0.7, scale=(0.001, 0.01), ratio=(0.3, 3.3), value=0, inplace=False)",0.15819620869600878,0.44871794871794873,0.0,0.19064418010516707,0.24853390897643463,0.8333333333333334,0.0,0.3523103004426965,0.19972982100641673,0.7446808510638298,0.0,0.31138537426416046,,,,
